NOGRID,LON,LAT,VAL
122694,113.3,-8.25,48.1936
123030,113.35,-8.25,45.8811
123366,113.4,-8.25,43.5686
123702,113.45,-8.25,41.2561
124038,113.5,-8.25,41.1158
124374,113.55,-8.25,40.9755
124710,113.6,-8.25,40.8352
125046,113.65,-8.25,43.2165
125382,113.7,-8.25,45.5977
125718,113.75,-8.25,47.979
126054,113.8,-8.25,50.3602
126390,113.85,-8.25,52.7414
126726,113.9,-8.25,51.6264
127062,113.95,-8.25,50.5113
127398,114,-8.25,49.3963
127734,114.05,-8.25,48.3387
128070,114.1,-8.25,47.2811
128406,114.15,-8.25,46.2234
128742,114.2,-8.25,45.1658
129078,114.25,-8.25,44.1082
129414,114.3,-8.25,43.2226
129750,114.35,-8.25,42.337
130758,114.5,-8.25,34.5503
131094,114.55,-8.25,31.0996
131430,114.6,-8.25,27.649
131766,114.65,-8.25,24.1984
132102,114.7,-8.25,24.2468
132438,114.75,-8.25,24.2954
132774,114.8,-8.25,24.3439
133110,114.85,-8.25,23.7482
133446,114.9,-8.25,23.1524
133782,114.95,-8.25,22.5566
134118,115,-8.25,21.9608
134454,115.05,-8.25,21.365
134790,115.1,-8.25,21.3378
135126,115.15,-8.25,21.3105
135462,115.2,-8.25,21.2834
135798,115.25,-8.25,22.3319
136134,115.3,-8.25,23.3804
136470,115.35,-8.25,24.4288
136806,115.4,-8.25,25.4773
137142,115.45,-8.25,26.5258
137478,115.5,-8.25,26.9124
137814,115.55,-8.25,27.299
142854,116.3,-8.25,18.5044
143190,116.35,-8.25,19.0479
143526,116.4,-8.25,19.5913
143862,116.45,-8.25,19.4294
144198,116.5,-8.25,19.2674
150918,117.5,-8.25,6.871
151254,117.55,-8.25,6.7737
151590,117.6,-8.25,6.6764
152598,117.75,-8.25,9.32
152934,117.8,-8.25,10.2012
153270,117.85,-8.25,11.0825
153606,117.9,-8.25,11.1606
106231,110.85,-8.2,26.4919
106567,110.9,-8.2,30.6917
106903,110.95,-8.2,34.8916
107239,111,-8.2,39.0914
107575,111.05,-8.2,38.8893
107911,111.1,-8.2,38.6872
108247,111.15,-8.2,38.4851
108583,111.2,-8.2,38.2831
108919,111.25,-8.2,39.0982
109255,111.3,-8.2,39.9133
109591,111.35,-8.2,40.7283
